function,n,seed,ok,error
ACOS,2,2435245258,True,
ACOS,3,2890321530,True,
ACOS,7,1506175930,True,
ACOS,30000,3392517527,True,
ACOS,2,928116854,True,
ACOS,3,171034310,True,
ACOS,7,4289814790,True,
ACOS,30000,196832087,True,
ACOS,2,112850401,True,
ACOS,3,1004133713,True,
ACOS,7,3461970577,True,
ACOS,30000,2455309656,True,
ACOS,2,2697920333,True,
ACOS,3,2645481437,True,
ACOS,7,1747874333,True,
ACOS,30000,1406653336,True,
ACOS,2,1701429463,True,
ACOS,3,1477044839,True,
ACOS,7,2911457191,True,
ACOS,30000,2062337817,True,
AD,2,998101415,True,
AD,3,102627607,True,
AD,7,4087176919,True,
AD,30000,2924086622,True,
AD,2,2634734355,True,
AD,3,2691363747,True,
AD,7,1441420899,True,
AD,30000,1875172254,True,
AD,2,2900541568,True,
AD,3,2441275952,True,
AD,7,1677873136,True,
AD,30000,4129734045,True,
AD,2,177589292,True,
AD,3,938861180,True,
AD,7,3262465340,True,
AD,30000,933782365,True,
AD,2,3476223418,True,
AD,3,4065516810,True,
AD,7,131234506,True,
AD,30000,512980956,True,
ADD,2,1117718104,True,
ADD,3,2147429608,True,
ADD,7,2323614504,True,
ADD,30000,1602334902,True,
ADD,2,3840413412,True,
ADD,3,3649579092,True,
ADD,7,738754964,True,
ADD,30000,2651811958,True,
ADD,2,3573552495,True,
ADD,3,3898621375,True,
ADD,7,501259263,True,
ADD,30000,132975221,True,
ADD,2,1937186747,True,
ADD,3,1310144363,True,
ADD,7,3147272363,True,
ADD,30000,3328431797,True,
ADD,2,3067093577,True,
ADD,3,2343569657,True,
ADD,7,2117119801,True,
ADD,30000,4015572020,True,
ADOSC,2,2256005831,True,
ADOSC,3,3138897015,True,
ADOSC,7,1318544823,True,
ADOSC,30000,4067286693,True,
ADOSC,2,536928883,True,
ADOSC,3,492882115,True,
ADOSC,7,3907022595,True,
ADOSC,30000,870515301,True,
ADOSC,2,300481504,True,
ADOSC,3,747164496,True,
ADOSC,7,3641210000,True,
ADOSC,30000,2852218982,True,
ADOSC,2,3080712524,True,
ADOSC,3,2332023260,True,
ADOSC,7,2139062300,True,
ADOSC,30000,1804581030,True,
ADOSC,2,1916325594,True,
ADOSC,3,1331226730,True,
ADOSC,7,3134734762,True,
ADOSC,30000,1119137315,True,
ADX,2,141276467,True,
ADX,3,889953667,True,
ADX,7,3230350403,True,
ADX,30000,1899802517,True,
ADX,2,2921119623,True,
ADX,3,2474415927,True,
ADX,7,1727803639,True,
ADX,30000,2964484437,True,
ADX,2,2683610636,True,
ADX,3,2727644316,True,
ADX,7,1460939612,True,
ADX,30000,693114710,True,
ADX,2,964931232,True,
ADX,3,82020368,True,
ADX,7,4049805776,True,
ADX,30000,3906914710,True,
ADX,2,4230254886,True,
ADX,3,3242506646,True,
ADX,7,885268566,True,
ADX,30000,3253067027,True,
ADXR,2,1779728281,True,
ADXR,3,1467242281,True,
ADXR,7,2733961449,True,
ADXR,30000,2413688234,True,
ADXR,2,3429070117,True,
ADXR,3,4043529621,True,
ADXR,7,75758677,True,
ADXR,30000,1314073450,True,
ADXR,2,4253773490,True,
ADXR,3,3236644866,True,
ADXR,7,896262594,True,
ADXR,30000,3618721129,True,
ADXR,2,1543267838,True,
ADXR,3,1721519278,True,
ADXR,7,2468146030,True,
ADXR,30000,373265321,True,
ADXR,2,2656787336,True,
ADXR,3,2738582328,True,
ADXR,7,1455150328,True,
ADXR,30000,1057261352,True,
APO,2,4002396941,True,
APO,3,3555693469,True,
APO,7,644822621,True,
APO,30000,3344350570,True,
APO,2,1224257953,True,
APO,3,1972934929,True,
APO,7,2149072593,True,
APO,30000,114844586,True,
APO,2,2031135798,True,
APO,3,1148224134,True,
APO,7,2985305414,True,
APO,30000,2671379881,True,
APO,2,3748110474,True,
APO,3,3792144954,True,
APO,7,394735610,True,
APO,30000,1588910953,True,
APO,2,448831228,True,
APO,3,664844204,True,
APO,7,3525317228,True,
APO,30000,2005913576,True,
AROON,2,2844730588,True,
AROON,3,2498694732,True,
AROON,7,1634708364,True,
AROON,30000,1286620394,True,
AROON,2,267923536,True,
AROON,3,848824032,True,
AROON,7,3340280096,True,
AROON,30000,2369690666,True,
AROON,2,1041249731,True,
AROON,3,57679219,True,
AROON,7,4142971571,True,
AROON,30000,350027305,True,
AROON,2,2556903287,True,
AROON,3,2768705479,True,
AROON,7,1351070215,True,
AROON,30000,3578929897,True,
AROON,2,1572864237,True,
AROON,3,1621109309,True,
AROON,7,2501939069,True,
AROON,30000,4234754152,True,
AROONOSC,2,3293410048,True,
AROONOSC,3,4180499376,True,
AROONOSC,7,212729456,True,
AROONOSC,30000,3075696806,True,
AROONOSC,2,1647999404,True,
AROONOSC,3,1599754492,True,
AROONOSC,7,2866476732,True,
AROONOSC,30000,1994242150,True,
AROONOSC,2,1406297127,True,
AROONOSC,3,1857178263,True,
AROONOSC,7,2603806039,True,
AROONOSC,30000,4013937253,True,
AROONOSC,2,4121258131,True,
AROONOSC,3,3368370723,True,
AROONOSC,7,1027991523,True,
AROONOSC,30000,783355557,True,
AROONOSC,2,805459729,True,
AROONOSC,3,224559009,True,
AROONOSC,7,4175616609,True,
AROONOSC,30000,126491684,True,
ASIN,2,1866593888,True,
ASIN,3,1377950928,True,
ASIN,7,2812377872,True,
ASIN,30000,2243864508,True,
ASIN,2,3375824588,True,
ASIN,3,4099332188,True,
ASIN,7,30831004,True,
ASIN,30000,1144027388,True,
ASIN,2,4175357255,True,
ASIN,3,3317616119,True,
ASIN,7,809397303,True,
ASIN,30000,3721535227,True,
ASIN,2,1588195315,True,
ASIN,3,1674168131,True,
ASIN,7,2521391235,True,
ASIN,30000,475840955,True,
ASIN,2,2601439857,True,
ASIN,3,2792290497,True,
ASIN,7,1408130817,True,
ASIN,30000,895997246,True,
ATAN,2,1437442317,True,
ATAN,3,1758300573,True,
ATAN,7,2639081565,True,
ATAN,30000,770094824,True,
ATAN,2,4091194273,True,
ATAN,3,3468329745,True,
ATAN,7,993666257,True,
ATAN,30000,3966265896,True,
ATAN,2,3258102326,True,
ATAN,3,4283603078,True,
ATAN,7,181550918,True,
ATAN,30000,1971982375,True,
ATAN,2,1682291338,True,
ATAN,3,1495635002,True,
ATAN,7,2896508410,True,
ATAN,30000,3020214503,True,
ATAN,2,2715976956,True,
ATAN,3,2625809836,True,
ATAN,7,1761741932,True,
ATAN,30000,2638202474,True,
ATR,2,3136012361,True,
ATR,3,2274072313,True,
ATR,7,1913336121,True,
ATR,30000,768734667,True,
ATR,2,480031989,True,
ATR,3,570203717,True,
ATR,7,3564911493,True,
ATR,30000,3965659915,True,
ATR,2,762621794,True,
ATR,3,269780946,True,
ATR,7,3851690514,True,
ATR,30000,1975340300,True,
ATR,2,2332272078,True,
ATR,3,3059977566,True,
ATR,7,1138961054,True,
ATR,30000,3023279052,True,
ATR,2,1319410776,True,
ATR,3,1942270696,True,
ATR,7,2252608808,True,
ATR,30000,2634581837,True,
AVGPRICE,2,1527572702,True,
AVGPRICE,3,1718403662,True,
AVGPRICE,7,2481743758,True,
AVGPRICE,30000,1024572403,True,
AVGPRICE,2,4252755026,True,
AVGPRICE,3,3223046882,True,
AVGPRICE,7,899378466,True,
AVGPRICE,30000,4238304563,True,
AVGPRICE,2,3432249797,True,
AVGPRICE,3,4059287925,True,
AVGPRICE,7,74675893,True,
AVGPRICE,30000,1702691636,True,
AVGPRICE,2,1793389433,True,
AVGPRICE,3,1468324809,True,
AVGPRICE,7,2718203401,True,
AVGPRICE,30000,2767445492,True,
AVGPRICE,2,2940456171,True,
AVGPRICE,3,2451826235,True,
AVGPRICE,7,1738752891,True,
AVGPRICE,30000,2378746229,True,
BBANDS,2,1966799654,True,
BBANDS,3,1213911958,True,
BBANDS,7,3185210966,True,
BBANDS,30000,3296761520,True,
BBANDS,2,3545100698,True,
BBANDS,3,3995982122,True,
BBANDS,7,464355050,True,
BBANDS,30000,84822640,True,
BBANDS,2,3802524669,True,
BBANDS,3,3754279597,True,
BBANDS,7,709191021,True,
BBANDS,30000,2632724591,True,
BBANDS,2,1154670769,True,
BBANDS,3,2041760257,True,
BBANDS,7,2352115649,True,
BBANDS,30000,1566765231,True,
BBANDS,2,2171985715,True,
BBANDS,3,3155556227,True,
BBANDS,7,1234522691,True,
BBANDS,30000,1952048690,True,
BETA,2,1400237199,True,
BETA,3,1846920735,True,
BETA,7,2610258911,True,
BETA,30000,1020707207,True,
BETA,2,4110608411,True,
BETA,3,3361918603,True,
BETA,7,1038248267,True,
BETA,30000,4250410823,True,
BETA,2,3303734712,True,
BETA,3,4186625288,True,
BETA,7,202011336,True,
BETA,30000,1689942344,True,
BETA,2,1654519556,True,
BETA,3,1610473396,True,
BETA,7,2860350068,True,
BETA,30000,2771691400,True,
BETA,2,2805647490,True,
BETA,3,2589647410,True,
BETA,7,1876576242,True,
BETA,30000,2349839113,True,
BOP,2,3534851025,True,
BOP,3,4023493473,True,
BOP,7,441517217,True,
BOP,30000,1970941534,True,
BOP,2,1959166301,True,
BOP,3,1235659213,True,
BOP,7,3156611085,True,
BOP,30000,3035951774,True,
BOP,2,1160682234,True,
BOP,3,2018423882,True,
BOP,7,2379093386,True,
BOP,30000,756454557,True,
BOP,2,3814298182,True,
BOP,3,3728324854,True,
BOP,7,733552438,True,
BOP,30000,3969403997,True,
BOP,2,654225344,True,
BOP,3,463374192,True,
BOP,7,3994951856,True,
BOP,30000,3315818204,True,
CCI,2,157302957,True,
CCI,3,872442365,True,
CCI,7,3246444477,True,
CCI,30000,3588672399,False,CCI[0]: max abs diff 6.712497224725666e-10
CCI,2,2937539585,True,
CCI,3,2457297585,True,
CCI,7,1744291185,True,
CCI,30000,342365519,False,CCI[0]: max abs diff 4.5864823050578707e-10
CCI,2,2667532694,True,
CCI,3,2745137446,True,
CCI,7,1444929254,True,
CCI,30000,2374660944,False,CCI[0]: max abs diff 3.4921754377137404e-10
CCI,2,948460330,True,
CCI,3,99120026,True,
CCI,7,4033402458,True,
CCI,30000,1275374992,False,CCI[0]: max abs diff 2.693241185625084e-10
CCI,2,4247741596,True,
CCI,3,3226422796,True,
CCI,7,902818764,True,
CCI,30000,1698674961,True,
CDL2CROWS,2,1469814045,True,
CDL2CROWS,3,1794882957,True,
CDL2CROWS,7,2675645517,True,
CDL2CROWS,30000,2579362900,True,
CDL2CROWS,2,4058816401,True,
CDL2CROWS,3,3431773985,True,
CDL2CROWS,7,957092065,True,
CDL2CROWS,30000,1479748756,True,
CDL2CROWS,2,3221521926,True,
CDL2CROWS,3,4251233462,True,
CDL2CROWS,7,149162870,True,
CDL2CROWS,30000,3251718803,True,
CDL2CROWS,2,1718849210,True,
CDL2CROWS,3,1528014858,True,
CDL2CROWS,7,2928869834,True,
CDL2CROWS,30000,6264403,True,
CDL2CROWS,2,2748625196,True,
CDL2CROWS,3,2662635900,True,
CDL2CROWS,7,1798586428,True,
CDL2CROWS,30000,694452438,True,
CDL3BLACKCROWS,2,1075724347,True,
CDL3BLACKCROWS,3,2105415403,True,
CDL3BLACKCROWS,7,2298392875,True,
CDL3BLACKCROWS,30000,412653460,True,
CDL3BLACKCROWS,2,3865654511,True,
CDL3BLACKCROWS,3,3674807871,True,
CDL3BLACKCROWS,7,780778367,True,
CDL3BLACKCROWS,30000,3642116436,True,
CDL3BLACKCROWS,2,3615567716,True,
CDL3BLACKCROWS,3,3940616148,True,
CDL3BLACKCROWS,7,526492180,True,
CDL3BLACKCROWS,30000,1089744723,True,
CDL3BLACKCROWS,2,1911956952,True,
CDL3BLACKCROWS,3,1284902248,True,
CDL3BLACKCROWS,7,3105270440,True,
CDL3BLACKCROWS,30000,2172318099,True,
CDL3BLACKCROWS,2,3025214542,True,
CDL3BLACKCROWS,3,2301702878,True,
CDL3BLACKCROWS,7,2092012830,True,
CDL3BLACKCROWS,30000,2822890774,True,
CDL3INSIDE,2,706319114,True,
CDL3INSIDE,3,393853882,True,
CDL3INSIDE,7,3807977082,True,
CDL3INSIDE,30000,3899199547,True,
CDL3INSIDE,2,2356058550,True,
CDL3INSIDE,3,2970530054,True,
CDL3INSIDE,7,1150162630,True,
CDL3INSIDE,30000,703058043,True,
CDL3INSIDE,2,3179709473,True,
CDL3INSIDE,3,2162600593,True,
CDL3INSIDE,7,1969622353,True,
CDL3INSIDE,30000,2953164412,True,
CDL3INSIDE,2,468813965,True,
CDL3INSIDE,3,647078429,True,
CDL3INSIDE,7,3541108701,True,
CDL3INSIDE,30000,1904962108,True,
CDL3INSIDE,2,3730224919,True,
CDL3INSIDE,3,3812007847,True,
CDL3INSIDE,7,381041255,True,
CDL3INSIDE,30000,1487961277,True,
CDL3LINESTRIKE,2,2549047430,True,
CDL3LINESTRIKE,3,2861517366,True,
CDL3LINESTRIKE,7,1594879990,True,
CDL3LINESTRIKE,30000,3408134291,True,
CDL3LINESTRIKE,2,832072762,True,
CDL3LINESTRIKE,3,217596554,True,
CDL3LINESTRIKE,7,4185449802,True,
CDL3LINESTRIKE,30000,178970707,True,
CDL3LINESTRIKE,2,7369117,True,
CDL3LINESTRIKE,3,1024481549,True,
CDL3LINESTRIKE,7,3364945613,True,
CDL3LINESTRIKE,30000,2471017044,True,
CDL3LINESTRIKE,2,2785508113,True,
CDL3LINESTRIKE,3,2607240097,True,
CDL3LINESTRIKE,7,1860695649,True,
CDL3LINESTRIKE,30000,1388734100,True,
CDL3LINESTRIKE,2,1671447699,True,
CDL3LINESTRIKE,3,1589669411,True,
CDL3LINESTRIKE,7,2873150435,True,
CDL3LINESTRIKE,30000,2080207893,True,
CDL3OUTSIDE,2,2924507515,True,
CDL3OUTSIDE,3,2469419307,True,
CDL3OUTSIDE,7,1722875627,True,
CDL3OUTSIDE,30000,1033467036,True,
CDL3OUTSIDE,2,136805167,True,
CDL3OUTSIDE,3,893866879,True,
CDL3OUTSIDE,7,3234330175,True,
CDL3OUTSIDE,30000,4229409884,True,
CDL3OUTSIDE,2,969892004,True,
CDL3OUTSIDE,3,78596628,True,
CDL3OUTSIDE,7,4046450644,True,
CDL3OUTSIDE,30000,1710607963,True,
CDL3OUTSIDE,2,2679663640,True,
CDL3OUTSIDE,3,2732081832,True,
CDL3OUTSIDE,7,1465443688,True,
CDL3OUTSIDE,30000,2759529115,True,
CDL3OUTSIDE,2,1512002958,True,
CDL3OUTSIDE,3,1736408350,True,
CDL3OUTSIDE,7,2466241246,True,
CDL3OUTSIDE,30000,2369783838,True,
CDL3STARSINSOUTH,2,2171241778,True,
CDL3STARSINSOUTH,3,3154816386,True,
CDL3STARSINSOUTH,7,1233783874,True,
CDL3STARSINSOUTH,30000,2152419476,True,
CDL3STARSINSOUTH,2,656248702,True,
CDL3STARSINSOUTH,3,444442414,True,
CDL3STARSINSOUTH,7,4026335470,True,
CDL3STARSINSOUTH,30000,1103466580,True,
CDL3STARSINSOUTH,2,385193497,True,
CDL3STARSINSOUTH,3,731233449,True,
CDL3STARSINSOUTH,7,3725925225,True,
CDL3STARSINSOUTH,30000,3626494547,True,
CDL3STARSINSOUTH,2,2961350309,True,
CDL3STARSINSOUTH,3,2380445717,True,
CDL3STARSINSOUTH,7,2019693013,True,
CDL3STARSINSOUTH,30000,430519955,True,
CDL3STARSINSOUTH,2,1965400351,True,
CDL3STARSINSOUTH,3,1212516751,True,
CDL3STARSINSOUTH,7,3183816783,True,
CDL3STARSINSOUTH,30000,814883862,True,
CDL3WHITESOLDIERS,2,1368303939,True,
CDL3WHITESOLDIERS,3,1827570163,True,
CDL3WHITESOLDIERS,7,2574133299,True,
CDL3WHITESOLDIERS,30000,1048689638,True,
CDL3WHITESOLDIERS,2,4160332791,True,
CDL3WHITESOLDIERS,3,3399060295,True,
CDL3WHITESOLDIERS,7,1058614407,True,
CDL3WHITESOLDIERS,30000,4279199014,True,
CDL3WHITESOLDIERS,2,3323050588,True,
CDL3WHITESOLDIERS,3,4218523852,True,
CDL3WHITESOLDIERS,7,250689292,True,
CDL3WHITESOLDIERS,30000,1726808869,True,
CDL3WHITESOLDIERS,2,1617343184,True,
CDL3WHITESOLDIERS,3,1560714336,True,
CDL3WHITESOLDIERS,7,2827369888,True,
CDL3WHITESOLDIERS,30000,2808339941,True,
CDL3WHITESOLDIERS,2,2780925270,True,
CDL3WHITESOLDIERS,3,2560730598,True,
CDL3WHITESOLDIERS,7,1830880294,True,
CDL3WHITESOLDIERS,30000,2388183396,True,
CDLABANDONEDBABY,2,4006820947,True,
CDLABANDONEDBABY,3,3551728355,True,
CDLABANDONEDBABY,7,640922915,True,
CDLABANDONEDBABY,30000,3305531348,True,
CDLABANDONEDBABY,2,1218719975,True,
CDLABANDONEDBABY,3,1975786071,True,
CDLABANDONEDBABY,7,2151989143,True,
CDLABANDONEDBABY,30000,76069140,True,
CDLABANDONEDBABY,2,2035034988,True,
CDLABANDONEDBABY,3,1143735228,True,
CDLABANDONEDBABY,7,2980881916,True,
CDLABANDONEDBABY,30000,2641026835,True,
CDLABANDONEDBABY,2,3745194432,True,
CDLABANDONEDBABY,3,3797617008,True,
CDLABANDONEDBABY,7,400273072,True,
CDLABANDONEDBABY,30000,1558446547,True,
CDLABANDONEDBABY,2,446439494,True,
CDLABANDONEDBABY,3,670840566,True,
CDLABANDONEDBABY,7,3531378998,True,
CDLABANDONEDBABY,30000,1977554262,True,
CDLADVANCEBLOCK,2,1578413600,True,
CDLADVANCEBLOCK,3,1668580496,True,
CDLADVANCEBLOCK,7,2532582224,True,
CDLADVANCEBLOCK,30000,3927386586,True,
CDLADVANCEBLOCK,2,4167280268,True,
CDLADVANCEBLOCK,3,3305345052,True,
CDLADVANCEBLOCK,7,813902300,True,
CDLADVANCEBLOCK,30000,731510554,True,
CDLADVANCEBLOCK,2,3381378311,True,
CDLADVANCEBLOCK,3,4109079991,True,
CDLADVANCEBLOCK,7,23802999,True,
CDLADVANCEBLOCK,30000,2994442521,True,
CDLADVANCEBLOCK,2,1878833075,True,
CDLADVANCEBLOCK,3,1385996035,True,
CDLADVANCEBLOCK,7,2803644611,True,
CDLADVANCEBLOCK,30000,1945456601,True,
CDLADVANCEBLOCK,2,2858125873,True,
CDLADVANCEBLOCK,3,2537267329,True,
CDLADVANCEBLOCK,7,1656424257,True,
CDLADVANCEBLOCK,30000,1523473240,True,
CDLBELTHOLD,2,3777379119,True,
CDLBELTHOLD,3,3695580031,True,
CDLBELTHOLD,7,700888639,True,
CDLBELTHOLD,30000,1279282743,True,
CDLBELTHOLD,2,1196503419,True,
CDLBELTHOLD,3,2050038059,True,
CDLBELTHOLD,7,2410790635,True,
CDLBELTHOLD,30000,2379125495,True,
CDLBELTHOLD,2,1991846936,True,
CDLBELTHOLD,3,1272513192,True,
CDLBELTHOLD,7,3193546088,True,
CDLBELTHOLD,30000,338490616,True,
CDLBELTHOLD,2,3503169700,True,
CDLBELTHOLD,3,3987606036,True,
CDLBELTHOLD,7,405712852,True,
CDLBELTHOLD,30000,3584175160,True,
CDLBELTHOLD,2,359210786,True,
CDLBELTHOLD,3,671692690,True,
CDLBELTHOLD,7,3716780626,True,
CDLBELTHOLD,30000,4237901497,True,
CDLBREAKAWAY,2,1369855347,True,
CDLBREAKAWAY,3,1824947651,True,
CDLBREAKAWAY,7,2571557891,True,
CDLBREAKAWAY,30000,791242831,True,
CDLBREAKAWAY,2,4157693895,True,
CDLBREAKAWAY,3,3400628087,True,
CDLBREAKAWAY,7,1060229303,True,
CDLBREAKAWAY,30000,4003969167,True,
CDLBREAKAWAY,2,3325642316,True,
CDLBREAKAWAY,3,4216941788,True,
CDLBREAKAWAY,7,249154332,True,
CDLBREAKAWAY,30000,2001067664,True,
CDLBREAKAWAY,2,1615744736,True,
CDLBREAKAWAY,3,1563322448,True,
CDLBREAKAWAY,7,2830025104,True,
CDLBREAKAWAY,30000,3066757712,True,
CDLBREAKAWAY,2,2783539558,True,
CDLBREAKAWAY,3,2559138262,True,
CDLBREAKAWAY,7,1829371926,True,
CDLBREAKAWAY,30000,2683311313,True,
CDLCLOSINGMARUBOZU,2,887573536,True,
CDLCLOSINGMARUBOZU,3,159867536,True,
CDLCLOSINGMARUBOZU,7,4228367696,True,
CDLCLOSINGMARUBOZU,30000,3582902256,True,
CDLCLOSINGMARUBOZU,2,2458927244,True,
CDLCLOSINGMARUBOZU,3,2951768604,True,
CDLCLOSINGMARUBOZU,7,1517342684,True,
CDLCLOSINGMARUBOZU,30000,335569200,True,
CDLCLOSINGMARUBOZU,2,2742573831,True,
CDLCLOSINGMARUBOZU,3,2652402615,True,
CDLCLOSINGMARUBOZU,7,1805178487,True,
CDLCLOSINGMARUBOZU,30000,2380400431,True,
CDLCLOSINGMARUBOZU,2,84890035,True,
CDLCLOSINGMARUBOZU,3,946829571,True,
CDLCLOSINGMARUBOZU,7,3455049411,True,
CDLCLOSINGMARUBOZU,30000,1282202095,True,
CDLCLOSINGMARUBOZU,2,3232264241,True,
CDLCLOSINGMARUBOZU,3,4257760897,True,
CDLCLOSINGMARUBOZU,7,138993985,True,
CDLCLOSINGMARUBOZU,30000,1700253042,True,
CDLCONCEALBABYSWALL,2,3079119425,True,
CDLCONCEALBABYSWALL,3,2330429681,True,
CDLCONCEALBABYSWALL,7,2137468721,True,
CDLCONCEALBABYSWALL,30000,1227099214,True,
CDLCONCEALBABYSWALL,2,300985069,True,
CDLCONCEALBABYSWALL,3,747668541,True,
CDLCONCEALBABYSWALL,7,3641714045,True,
CDLCONCEALBABYSWALL,30000,2292896910,True,
CDLCONCEALBABYSWALL,2,538489194,True,
CDLCONCEALBABYSWALL,3,494442970,True,
CDLCONCEALBABYSWALL,7,3908583450,True,
CDLCONCEALBABYSWALL,30000,289976973,True,
CDLCONCEALBABYSWALL,2,2255469526,True,
CDLCONCEALBABYSWALL,3,3138360166,True,
CDLCONCEALBABYSWALL,7,1318007974,True,
CDLCONCEALBABYSWALL,30000,3502665293,True,
CDLCONCEALBABYSWALL,2,1137215056,True,
CDLCONCEALBABYSWALL,3,2124983520,True,
CDLCONCEALBABYSWALL,7,2334657312,True,
CDLCONCEALBABYSWALL,30000,4194138316,True,
CDLCOUNTERATTACK,2,2271444873,True,
CDLCOUNTERATTACK,3,3120781113,True,
CDLCOUNTERATTACK,7,1334046969,True,
CDLCOUNTERATTACK,30000,1627509695,True,
CDLCOUNTERATTACK,2,554988853,True,
CDLCOUNTERATTACK,3,477388165,True,
CDLCOUNTERATTACK,7,3925146693,True,
CDLCOUNTERATTACK,30000,2693729535,True,
CDLCOUNTERATTACK,2,284978850,True,
CDLCOUNTERATTACK,3,765216786,True,
CDLCOUNTERATTACK,7,3625771474,True,
CDLCOUNTERATTACK,30000,963472128,True,
CDLCOUNTERATTACK,2,3062588942,True,
CDLCOUNTERATTACK,3,2347453598,True,
CDLCOUNTERATTACK,7,2121001822,True,
CDLCOUNTERATTACK,30000,4175672768,True,
CDLCOUNTERATTACK,2,1932286872,True,
CDLCOUNTERATTACK,3,1313633064,True,
CDLCOUNTERATTACK,7,3150763240,True,
CDLCOUNTERATTACK,30000,3520635201,True,
CDLDARKCLOUDCOVER,2,697711536,True,
CDLDARKCLOUDCOVER,3,351671040,True,
CDLDARKCLOUDCOVER,7,3782653120,True,
CDLDARKCLOUDCOVER,30000,1763513194,True,
